textbook_question_id,relevance_rating
hendrycks_textbook_1.3.1_15,10
hendrycks_textbook_7.4.3_6,10
hendrycks_textbook_6.5.4_1,10
hendrycks_textbook_3.4.3_12,10
hendrycks_textbook_4.5_2,10
hendrycks_textbook_6.7.1_3,10
hendrycks_textbook_7.3_6,10
hendrycks_textbook_7.4.6_5,10
hendrycks_textbook_3.4.5_1,10
hendrycks_textbook_3.3.5_8,10
hendrycks_textbook_5.4_6,10
hendrycks_textbook_1.4.1_6,10
hendrycks_textbook_3.7_11,10
hendrycks_textbook_3.4.3_5,10
hendrycks_textbook_6.4.2_13,10
hendrycks_textbook_4.5.1_13,10
hendrycks_textbook_6.7.2_7,10
hendrycks_textbook_4.7.6_5,10
hendrycks_textbook_8.3.2_3,10
hendrycks_textbook_3.4.3_6,10
hendrycks_textbook_4.5.1_5,10
hendrycks_textbook_8.3.2_6,10
hendrycks_textbook_5.4_1,10
hendrycks_textbook_3.1_6,10
hendrycks_textbook_4.3_2,10
hendrycks_textbook_7.5.3_5,10
hendrycks_textbook_1.7_8,10
hendrycks_textbook_1.3.2_2,10
hendrycks_textbook_4.1.1_1,10
hendrycks_textbook_3.3.1_5,10
hendrycks_textbook_7.3.1_3,10
hendrycks_textbook_7.4.6_2,10
hendrycks_textbook_3.4.8_6,10
hendrycks_textbook_7.2.5_15,10
hendrycks_textbook_5.3.2_11,10
hendrycks_textbook_6.6.3_12,10
hendrycks_textbook_1.6_8,10
hendrycks_textbook_7.5.2_10,10
hendrycks_textbook_1.3.3_13,10
hendrycks_textbook_6.7.1_11,10
hendrycks_textbook_7.2.6_2,10
hendrycks_textbook_7.3_3,10
hendrycks_textbook_3.7_15,10
hendrycks_textbook_7.5.2_16,10
hendrycks_textbook_4.2_10,9
hendrycks_textbook_3.4_2,9
hendrycks_textbook_4.3.3_6,9
hendrycks_textbook_4.3.8_13,9
hendrycks_textbook_1.7_20,9
hendrycks_textbook_8.3.1_19,9
hendrycks_textbook_1.5_10,9
hendrycks_textbook_6.9.3_8,9
hendrycks_textbook_3.4.4_1,9
hendrycks_textbook_9.4_1,9
hendrycks_textbook_8.3.1_12,9
hendrycks_textbook_10.4.4_11,9
hendrycks_textbook_4.6_1,9
hendrycks_textbook_1.2.4_9,9
hendrycks_textbook_4.1.6_12,9
hendrycks_textbook_7.5.3_14,9
hendrycks_textbook_4.5_6,9
hendrycks_textbook_3.2.3_4,9
hendrycks_textbook_6.6.3_5,8
hendrycks_textbook_4.2_1,8
hendrycks_textbook_4.6_7,8
hendrycks_textbook_7.5.3_6,8
hendrycks_textbook_8.5.6_10,8
hendrycks_textbook_6.3.1_1,8
hendrycks_textbook_7.4.1_13,8
hendrycks_textbook_6.9.3_10,8
hendrycks_textbook_6.6.2_3,8
hendrycks_textbook_7.4.3_2,8
hendrycks_textbook_10.3.2_1,8
hendrycks_textbook_1.3.1_3,8
hendrycks_textbook_4.2_2,8
hendrycks_textbook_5.3.4_2,8
hendrycks_textbook_4.5_5,8
hendrycks_textbook_1.2.4_11,8
hendrycks_textbook_7.5.3_12,8
hendrycks_textbook_3.2.2_4,8
hendrycks_textbook_4.8.2_8,8
hendrycks_textbook_4.3.8_14,8
hendrycks_textbook_7.2.3_3,8
hendrycks_textbook_4.3.2_7,8
hendrycks_textbook_9.3_13,8
hendrycks_textbook_6.2.2_1,8
hendrycks_textbook_1.4.1_18,8
hendrycks_textbook_6.6.2_5,8
hendrycks_textbook_7.3.1_5,7
hendrycks_textbook_3.4.6_6,7
hendrycks_textbook_1.3.3_8,7
hendrycks_textbook_5.3.1_10,7
hendrycks_textbook_5.2.3_5,7
hendrycks_textbook_6.1_3,7
hendrycks_textbook_1.4.1_14,7
hendrycks_textbook_6.9.2_7,7
hendrycks_textbook_9.6_4,7
hendrycks_textbook_3.3.5_11,7
hendrycks_textbook_3.1_1,7
hendrycks_textbook_6.6.3_3,7
hendrycks_textbook_3.2.3_3,7
hendrycks_textbook_4.2_4,7
hendrycks_textbook_7.2.3_8,7
hendrycks_textbook_8.6.3_8,7
hendrycks_textbook_1.3.1_10,6
hendrycks_textbook_4.7.6_7,6
hendrycks_textbook_4.3.1_2,6
hendrycks_textbook_6.2.2_6,6
hendrycks_textbook_4.1.6_14,6
hendrycks_textbook_7.3_8,6
hendrycks_textbook_6.9.3_6,6
hendrycks_textbook_7.3_1,6
hendrycks_textbook_4.8.2_5,6
hendrycks_textbook_6.3.2_9,5
hendrycks_textbook_7.1_11,5
hendrycks_textbook_6.6_5,5
hendrycks_textbook_7.1_1,5
hendrycks_textbook_7.4.3_5,5
hendrycks_textbook_3.4_3,4
hendrycks_textbook_1.5.3_10,4
hendrycks_textbook_6.4.5_5,4
hendrycks_textbook_1.3.2_3,4
hendrycks_textbook_8.5.6_3,4
hendrycks_textbook_7.4.4_5,4
hendrycks_textbook_1.3.3_10,4
hendrycks_textbook_7.4.6_1,4
hendrycks_textbook_6.9.3_11,4
hendrycks_textbook_10.3.2_11,4
hendrycks_textbook_6.6.1_2,4
hendrycks_textbook_4.8.2_2,3
hendrycks_textbook_6.7.1_15,3
hendrycks_textbook_6.9.1_10,3
hendrycks_textbook_9.6_12,3
hendrycks_textbook_6.1_10,3
hendrycks_textbook_5.2.5_5,3
hendrycks_textbook_6.6_6,3
hendrycks_textbook_6.9.1_14,3
hendrycks_textbook_3.1_3,3
hendrycks_textbook_3.5_4,2
hendrycks_textbook_3.2.5_12,2
hendrycks_textbook_7.3_5,2
hendrycks_textbook_8.5.7_5,2
hendrycks_textbook_6.3.2_2,2
hendrycks_textbook_3.3.1_9,2
hendrycks_textbook_3.4.6_3,2
hendrycks_textbook_6.6_9,2
hendrycks_textbook_9.6_7,1
hendrycks_textbook_9.4_5,1
hendrycks_textbook_8.3.1_13,1
hendrycks_textbook_6.4.2_20,1
hendrycks_textbook_1.2.4_2,1
hendrycks_textbook_7.2.6_10,1
hendrycks_textbook_7.5.3_7,1
